review_text,rating,category,timestamp
Customer service was unhelpful regarding my Home & Kitchen complaint.,5,Home & Kitchen,2022-06-09
My Sports & Outdoors order got delayed. Not cool!,4,Sports & Outdoors,2023-07-22
I'll definitely buy more Electronics products from recieved,5,Electronics,2023-03-11
This Sports & Outdoors item exceeded my expectations! Five stars. 😡,3,Sports & Outdoors,2022-12-14
"Honestly, I've had better Books items before. Not satisfied! I have been recieved it for a couple of weeks now and here’s my detailed feedback: Packaging was done well, preventing any damage during shipping. My friends also tried it and shared similar opinions. 🤑",2,Books,2021-09-13
Received smh a damaged Electronics product. Very definately,2,Electronics,2021-12-25
I really love this Home & Kitchen product! The quality is amazing.,2,Home & Kitchen,2022-05-11
I really love this Home & Kitchen product! The quality is amazing. 😢,5,Home & Kitchen,2022-05-28
I really love this Home & Kitchen product! The quality is amazing. 🚚,4,Home & Kitchen,2021-12-07
Terrible experience with this Clothing item. It broke after one use. I spent hours testing various awsome and concluded: The item had multiple features I never expected!,4,Clothing,2021-01-12
I'll definitely buy more Home & Kitchen products from ShopEase. 🙄,4,Home & Kitchen,2022-12-27
Shipping was super fast for teh Electronics purchase!,5,Electronics,2022-07-15
"I really love this Home & Kitchen product! The quality is amazing. Furthermore, the packaging was quite interesting and here's why: Packaging was done well, preventing any damage during shipping.",3,Home & Kitchen,2022-11-19
Totally worth the price! My Sports & Outdoors item works perfectly.,5,Sports & Outdoors,2021-11-06
Shipping was definately fast for my Electronics purchase!,5,Electronics,2021-11-18
This Home & Kitchen item exceeded my imo expectations! Five stars.,3,Home & Kitchen,2023-10-19
Totally worth the price! My Clothing item works awsome,1,Clothing,2023-09-15
This Electronics item exceeded awsome smh expectations! Five stars. 🙄,3,Electronics,2021-11-23
Customer service was unhelpful regarding my Clothing smh complaint.,2,Clothing,2022-03-04
I'll definitely buy more Electronics teh from ShopEase.,4,Electronics,2023-07-11
I'll definately buy more Home & Kitchen products from ShopEase. 😢,1,Home & Kitchen,2023-05-28
"Terrible experience with this Sports & Outdoors item. It broke after btw one use. Furthermore, the packaging was quite interesting and here's why: The item had multiple features I never expected! Packaging was done well, preventing any damage during shipping.",5,Sports & Outdoors,2022-03-18
Shipping was super fast for my Books purchase!,5,Books,2022-04-13
This Electronics item exceeded my definately Five stars.,3,Electronics,2023-11-20
"Terrible experience with this Home & Kitchen item. It broke after one use. Furthermore, the packaging awsome quite interesting and here's why: Packaging was done well, preventing any damage during shipping. Although I liked the overall design, certain aspects could be improved.",2,Home & Kitchen,2022-08-05
I really love this Sports & Outdoors product! The quality is amazing.,5,Sports & Outdoors,2023-06-10
Terrible experience with this Books item. It broke after qualtiy lol use.,3,Books,2022-07-18
Customer service btw was unhelpful regarding my Electronics complaint. 🙄,5,Electronics,2023-01-24
My Clothing order got qualtiy Not cool!,5,Clothing,2023-10-21
Received a damaged Electronics product. Very disappointed.,3,Electronics,2021-12-07
Shipping was teh fast for my Sports & Outdoors purchase!,2,Sports & Outdoors,2023-11-15
